Name;GroupName;DoctorName;Symptom1;Symptom2;Symptom3;Symptom4;Symptom5;Symptom6;Symptom7;Symptom8;Symptom9;Symptom10;Symptom11;Symptom12;Symptom13;Symptom14;Symptom15;Symptom16;Symptom17;Symptom18;Symptom19;Symptom20;Symptom21;Symptom22;Symptom23;Symptom24;Symptom25;Symptom26;Symptom27;Symptom28;Symptom29;Symptom30;
Простуда;инфекционное;терапевт;боль в горле;повышение температуры;насморк;слезотечение;резь в глазах;головная боль;кашель;усталость;;;;;;;;;;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;болят мышцы во всем теле;повышение температуры;першит горло;Слезятся глаза;краснеют глаза;слабость;снижение аппетита;чувствительность к свету;головокружение;;;;;;;;;;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;кашель;одышка;озноб;болезненность в грудной клетке;слабость ;усиленное выделение пота;хрипы;повышение температуры ;головные боли;;;;;;;;;;;;;;;;;;;;;;
Гастроэнтерит;инфекционное ЖКТ;гастроэнтеролог;повышение температуры;сонливость;слабость;сухость кожи;сухость слизистых;жажда;налет на языке;снижение артериального давления;учащение пульса;головная боль;головокружение;тошнота;рвота;понос;боль в желудке;;;;;;;;;;;;;;;;
Аллергия ;аллергическое;аллерголог;чихание;слезоточивость;Неприятная резь в глазах;хрип;кашель;першение в горле;удушье;насморк;тошнота ;рвота;Расстройство стула;высыпания на коже;ломота;отечность;;;;;;;;;;;;;;;;;
Гипертония;сердечно-сосудистое;кардиолог;Головокружение;головная боль;Шум в ушах;слышимость сердцебиения;боли в груди;Покраснение лица;Ощущение пульсации в разных участках тела;Бессонница;утомляемость;Одышка;Отек рук;Отек лица;снижение остроты зрения;снижение аппетита;тошнота;Усиленное потоотделение;;;;;;;;;;;;;;;
Диабет 2 типа ;эндокринное;эндокринолог;Учащенное мочеиспускание; жажда;Расплывчатость зрения;усталость ;покалывание в руках и ногах;Онемение ;Медленное заживление ран;;;;;;;;;;;;;;;;;;;;;;;;
остеоартрит;ревматологическое;ревматолог;боль в области пораженного сустава;скрип при движениях; хруст при движениях;чувство скованности в суставах;ограничение объема движений вплоть до обездвиживания;;;;;;;;;;;;;;;;;;;;;;;;;;
ревматоидный артрит;аутоиммунное;ревматолог;постоянная слабость ;повышенная утомляемость ;повышение температуры;снижение веса;потливость ;боли в суставах;скованность суставов;отеки и красноту в области суставов;онемение конечностей;;;;;;;;;;;;;;;;;;;;;;
Депрессия;психическое;психиатр;снижение концентрации;патологическое чувство вины;низкая самооценка;отсутствие веры в будущее;мысли о смерти;нарушения сна;снижение аппетита;снижение массы тела;усталость;;;;;;;;;;;;;;;;;;;;;;
Тревожное расстройство;психическое;психиатр;беспокойство ;частые перепады настроения;нарушение сна;постоянные конфликты с окружающими;сниженная острота реакций;заторможенное мышление;повышение потливости;учащенный пульс;утомляемость;слабость;боль в разных частях тела;;;;;;;;;;;;;;;;;;;;
экзема;кожное;дерматолог;уплотнение и покраснение кожи на отдельных участках тела;болезненность при касании к сыпи;смелкая сыпь;головная боль;сонливость;мышечные судороги;повышенная температура ;отечность ;зуд;;;;;;;;;;;;;;;;;;;;;;
псориаз;кожное;дерматолог;выпуклые пятна с белыми чешуйками;зуд на местах высыпаний;сухость;шелушение;трещины или волдыри;деформированная ногтевая пластина;кровотечения из трещин на бляшках;боль в суставах;;;;;;;;;;;;;;;;;;;;;;;
стенокардия;сердечно-сосудистое;кардиолог;боль за грудиной;жжении в груди;боль, которая может отдавать в правую или левую руку, шею, нижнюю челюсть;нехватка воздуха;одышка;;;;;;;;;;;;;;;;;;;;;;;;;;
сердечная недостаточность;сердечно-сосудистое;кардиолог;одышка;периодический сухой кашель;отеки ног;учащение мочеиспускания в ночные часы;усталость;слабость;тошнота;боль в груди;аритмия ;тихикардия или брадикардия;холодный пот;бледнеет кожа;губы синеют;;;;;;;;;;;;;;;;;;
