Name;GroupName;DoctorName;Symptom1;Symptom2;Symptom3;Symptom4;Symptom5;Symptom6;Symptom7;Symptom8;Symptom9;Symptom10;Symptom11;Symptom12;Symptom13;Symptom14;Symptom15;Symptom16;Symptom17;Unnamed: 20
Простуда;инфекционное;терапевт;боль в горле;повышение температуры;;;;;;;;;;;;;;;;
Простуда;инфекционное;терапевт;повышение температуры;насморк;;;;;;;;;;;;;;;;
Простуда;инфекционное;терапевт;насморк;слезотечение;;;;;;;;;;;;;;;;
Простуда;инфекционное;терапевт;резь в глазах;головная боль;;;;;;;;;;;;;;;;
Простуда;инфекционное;терапевт;головная боль;кашель;;;;;;;;;;;;;;;;
Простуда;инфекционное;терапевт;кашель;усталость;;;;;;;;;;;;;;;;
Простуда;инфекционное;терапевт;боль в горле;повышение температуры;насморк;;;;;;;;;;;;;;;
Простуда;инфекционное;терапевт;повышение температуры;насморк;слезотечение;;;;;;;;;;;;;;;
Простуда;инфекционное;терапевт;насморк;слезотечение;резь в глазах;;;;;;;;;;;;;;;
Простуда;инфекционное;терапевт;резь в глазах;головная боль;кашель;;;;;;;;;;;;;;;
Простуда;инфекционное;терапевт;головная боль;кашель;усталость;;;;;;;;;;;;;;;
Простуда;инфекционное;терапевт;боль в горле;повышение температуры;насморк;слезотечение;;;;;;;;;;;;;;
Простуда;инфекционное;терапевт;повышение температуры;насморк;слезотечение;резь в глазах;;;;;;;;;;;;;;
Простуда;инфекционное;терапевт;насморк;слезотечение;резь в глазах;головная боль;;;;;;;;;;;;;;
Простуда;инфекционное;терапевт;слезотечение;резь в глазах;головная боль;кашель;;;;;;;;;;;;;;
Простуда;инфекционное;терапевт;резь в глазах;головная боль;кашель;усталость;;;;;;;;;;;;;;
Простуда;инфекционное;терапевт;боль в горле;повышение температуры;насморк;слезотечение;резь в глазах;;;;;;;;;;;;;
Простуда;инфекционное;терапевт;повышение температуры;насморк;слезотечение;резь в глазах;головная боль;;;;;;;;;;;;;
Простуда;инфекционное;терапевт;насморк;слезотечение;резь в глазах;головная боль;кашель;;;;;;;;;;;;;
Простуда;инфекционное;терапевт;слезотечение;резь в глазах;головная боль;кашель;усталость;;;;;;;;;;;;;
Простуда;инфекционное;терапевт;боль в горле;повышение температуры;насморк;слезотечение;резь в глазах;головная боль;;;;;;;;;;;;
Простуда;инфекционное;терапевт;повышение температуры;насморк;слезотечение;резь в глазах;головная боль;кашель;;;;;;;;;;;;
Простуда;инфекционное;терапевт;насморк;слезотечение;резь в глазах;головная боль;кашель;усталость;;;;;;;;;;;;
Простуда;инфекционное;терапевт;боль в горле;повышение температуры;насморк;слезотечение;резь в глазах;головная боль;кашель;;;;;;;;;;;
Простуда;инфекционное;терапевт;повышение температуры;насморк;слезотечение;резь в глазах;головная боль;кашель;усталость;;;;;;;;;;;
Простуда;инфекционное;терапевт;боль в горле;повышение температуры;насморк;слезотечение;резь в глазах;головная боль;кашель;усталость;;;;;;;;;;
грипп;инфекционное;терапевт;болят мышцы во всем теле;повышение температуры;;;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;повышение температуры;першит горло;;;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;першит горло;Слезятся глаза;;;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;Слезятся глаза;краснеют глаза;;;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;краснеют глаза;слабость;;;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;слабость;снижение аппетита;;;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;снижение аппетита;чувствительность к свету;;;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;чувствительность к свету;головокружение;;;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;болят мышцы во всем теле;повышение температуры;першит горло;;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;повышение температуры;першит горло;Слезятся глаза;;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;першит горло;Слезятся глаза;краснеют глаза;;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;Слезятся глаза;краснеют глаза;слабость;;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;краснеют глаза;слабость;снижение аппетита;;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;слабость;снижение аппетита;чувствительность к свету;;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;снижение аппетита;чувствительность к свету;головокружение;;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;болят мышцы во всем теле;повышение температуры;першит горло;Слезятся глаза;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;повышение температуры;першит горло;Слезятся глаза;краснеют глаза;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;першит горло;Слезятся глаза;краснеют глаза;слабость;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;Слезятся глаза;краснеют глаза;слабость;снижение аппетита;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;краснеют глаза;слабость;снижение аппетита;чувствительность к свету;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;слабость;снижение аппетита;чувствительность к свету;головокружение;;;;;;;;;;;;;;
грипп;инфекционное;терапевт;болят мышцы во всем теле;повышение температуры;першит горло;Слезятся глаза;краснеют глаза;;;;;;;;;;;;;
грипп;инфекционное;терапевт;повышение температуры;першит горло;Слезятся глаза;краснеют глаза;слабость;;;;;;;;;;;;;
грипп;инфекционное;терапевт;першит горло;Слезятся глаза;краснеют глаза;слабость;снижение аппетита;;;;;;;;;;;;;
грипп;инфекционное;терапевт;Слезятся глаза;краснеют глаза;слабость;снижение аппетита;чувствительность к свету;;;;;;;;;;;;;
грипп;инфекционное;терапевт;краснеют глаза;слабость;снижение аппетита;чувствительность к свету;головокружение;;;;;;;;;;;;;
грипп;инфекционное;терапевт;болят мышцы во всем теле;повышение температуры;першит горло;Слезятся глаза;краснеют глаза;слабость;;;;;;;;;;;;
грипп;инфекционное;терапевт;повышение температуры;першит горло;Слезятся глаза;краснеют глаза;слабость;снижение аппетита;;;;;;;;;;;;
грипп;инфекционное;терапевт;першит горло;Слезятся глаза;краснеют глаза;слабость;снижение аппетита;чувствительность к свету;;;;;;;;;;;;
грипп;инфекционное;терапевт;Слезятся глаза;краснеют глаза;слабость;снижение аппетита;чувствительность к свету;головокружение;;;;;;;;;;;;
грипп;инфекционное;терапевт;болят мышцы во всем теле;повышение температуры;першит горло;Слезятся глаза;краснеют глаза;слабость;снижение аппетита;;;;;;;;;;;
грипп;инфекционное;терапевт;повышение температуры;першит горло;Слезятся глаза;краснеют глаза;слабость;снижение аппетита;чувствительность к свету;;;;;;;;;;;
грипп;инфекционное;терапевт;першит горло;Слезятся глаза;краснеют глаза;слабость;снижение аппетита;чувствительность к свету;головокружение;;;;;;;;;;;
грипп;инфекционное;терапевт;болят мышцы во всем теле;повышение температуры;першит горло;Слезятся глаза;краснеют глаза;слабость;снижение аппетита;чувствительность к свету;;;;;;;;;;
грипп;инфекционное;терапевт;повышение температуры;першит горло;Слезятся глаза;краснеют глаза;слабость;снижение аппетита;чувствительность к свету;головокружение;;;;;;;;;;
грипп;инфекционное;терапевт;болят мышцы во всем теле;повышение температуры;першит горло;Слезятся глаза;краснеют глаза;слабость;снижение аппетита;чувствительность к свету;головокружение;;;;;;;;;
бронхит;респираторное;пульмонолог;кашель;одышка;;;;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;одышка;озноб;;;;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;озноб;болезненность в грудной клетке;;;;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;болезненность в грудной клетке;слабость;;;;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;слабость;усиленное выделение пота;;;;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;усиленное выделение пота;хрипы;;;;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;хрипы;повышение температуры;;;;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;повышение температуры;головные боли;;;;;;;;;;;;;;;;
бронхит;респираторное;пульмонолог;кашель;одышка;озноб;;;;;;;;;;;;;;;
